Country,happiness_score,gdp_per_cap,soc_supp,freedom_score,generosity_score,corruption_score,LMIC_ind,health_ind
Finland,2.025456263,1.054437038,1.301173022,1.366351618,0.22475326,2.852649062,0,1
Norway,1.991524642,1.441991828,1.263563442,1.398071353,1.091957646,2.310874628,0,1
Denmark,1.956700085,1.172500086,1.293651106,1.379039512,1.071309922,3.005981449,0,1
Iceland,1.903123842,1.151967382,1.49674284,1.34097583,1.783656382,0.245998482,0,1
Switzerland,1.895980343,1.349594659,1.139451827,1.233128731,0.782241794,2.484651333,0,1
Netherlands,1.854905224,1.198165966,0.910033387,1.093561896,1.577179147,1.850877466,0,1
Canada,1.754003301,1.118601738,1.07551554,1.188721102,1.453292806,1.80998883,0,1
New Zealand,1.750431552,0.959473281,1.335021644,1.290224254,1.907542722,2.811760425,0,1
Sweden,1.741502178,1.182766438,0.958925842,1.226784784,1.081633784,2.750427471,0,1
Australia,1.703998808,1.144267618,1.22971482,1.15065742,1.866247275,1.92243258,0,1
United Kingdom,1.630777944,0.897875169,0.703180696,-0.010284884,0.844184964,-0.32644243,0,1
Austria,1.585238138,1.146834206,0.970208716,0.960339009,0.637707729,1.125104168,0,1
Costa Rica,1.525411334,0.297293574,NA,1.055498214,-0.384354582,-0.132221406,1,1
Ireland,1.440582283,1.421459124,1.2673244,0.941307168,1.308758742,1.963321217,0,1
Germany,1.429867035,1.144267618,0.857379975,0.763676652,0.957747443,1.697545079,0,1
Belgium,1.395935415,1.10320221,0.891228597,0.744644811,0.080219196,1.288658714,0,1
Luxembourg,1.380755479,1.749982389,1.030384044,1.055498214,0.16281009,2.116653604,0,1
United States,1.359324982,1.293129723,0.846097101,0.516262718,1.143576954,0.194887686,0,NA
United Arab Emirates,1.259315997,3.084608156,NA,-1.152195346,0.059571472,NA,0,0
Czech Republic,1.203060942,0.869642701,0.913794345,0.49088693,-1.199939659,-0.817106068,0,1
Malta,1.128054203,0.964606457,1.049188834,1.137969526,2.021105201,0.286887118,0,1
France,1.004828845,1.023637982,0.827292311,0.344976149,-0.84892836,0.634440529,0,1
Mexico,1.003935908,0.369158038,NA,0.084874321,-1.14832035,-0.193554361,1,1
Chile,0.99322066,0.607850724,NA,-0.219635135,0.173133951,-0.541107772,0,1
Panama,0.95214554,0.559085551,NA,0.833460069,-0.570184093,-0.520663453,1,1
Brazil,0.942323229,0.235695462,0.857379975,NA,-0.725042019,-0.265109475,1,0
Argentina,0.914642171,0.458988619,0.834814227,NA,-1.220587382,-0.612662886,1,1
Guatemala,0.909284547,-0.290455081,0.082622621,0.877867698,-0.01269556,-0.43888618,1,0
Uruguay,0.906605734,0.510320379,0.800965604,1.011090585,-0.518564785,0.419775187,0,1
Qatar,0.902141048,1.937343314,0.214256152,1.195065049,0.782241794,0.583329733,0,1
Saudi Arabia,0.899462235,1.244364551,0.319562977,0.275192732,-0.84892836,0.133554731,0,0
Singapore,0.874459989,1.629352753,0.77087794,1.049154267,0.833861102,3.506867247,1,1
Malaysia,0.855708304,0.684848364,NA,-0.695431161,1.350054189,-0.56155209,1,0
Spain,0.844993056,0.915841285,1.098081289,NA,-0.394678444,-0.408219703,0,1
Colombia,0.800346187,0.168964173,0.725746444,0.414759566,-0.838604498,-0.765995273,1,0
